Time,X(CH1),X(CH2),
Second,Volt,Volt,
1.1988281e+02,4.52000e+00,8.24000e+00,
1.1991211e+02,4.52000e+00,8.24000e+00,
1.1994141e+02,4.48000e+00,8.24000e+00,
1.1997070e+02,4.52000e+00,8.24000e+00,
1.2000000e+02,4.52000e+00,8.24000e+00,
1.2002930e+02,4.52000e+00,8.24000e+00,
1.2005859e+02,4.48000e+00,8.24000e+00,
1.2008789e+02,4.52000e+00,8.24000e+00,
1.2011719e+02,4.52000e+00,8.24000e+00,
1.2014648e+02,4.52000e+00,8.24000e+00,
1.2017578e+02,4.52000e+00,8.24000e+00,
1.2020508e+02,4.52000e+00,8.24000e+00,
1.2023438e+02,4.52000e+00,8.24000e+00,
1.2026367e+02,4.52000e+00,8.24000e+00,
1.2029297e+02,4.52000e+00,8.24000e+00,
1.2032227e+02,4.52000e+00,8.24000e+00,
1.2035156e+02,4.52000e+00,8.24000e+00,
1.2038086e+02,4.52000e+00,8.24000e+00,
1.2041016e+02,4.52000e+00,8.24000e+00,
1.2043945e+02,4.52000e+00,8.24000e+00,
1.2046875e+02,4.52000e+00,8.24000e+00,
1.2049805e+02,4.52000e+00,8.24000e+00,
1.2052734e+02,4.52000e+00,8.24000e+00,
1.2055664e+02,4.52000e+00,8.24000e+00,
1.2058594e+02,4.52000e+00,8.24000e+00,
1.2061523e+02,4.52000e+00,8.24000e+00,
1.2064453e+02,4.52000e+00,8.24000e+00,
1.2067383e+02,4.52000e+00,8.24000e+00,
1.2070313e+02,4.52000e+00,8.24000e+00,
1.2073242e+02,4.52000e+00,8.24000e+00,
1.2076172e+02,4.52000e+00,8.24000e+00,
1.2079102e+02,4.52000e+00,8.24000e+00,
1.2082031e+02,4.52000e+00,8.24000e+00,
1.2084961e+02,4.52000e+00,8.24000e+00,
1.2087891e+02,4.52000e+00,8.24000e+00,
1.2090820e+02,4.52000e+00,8.24000e+00,
1.2093750e+02,4.52000e+00,8.24000e+00,
1.2096680e+02,4.52000e+00,8.24000e+00,
1.2099609e+02,4.52000e+00,8.24000e+00,
1.2102539e+02,4.52000e+00,8.24000e+00,
1.2105469e+02,4.52000e+00,8.24000e+00,
1.2108398e+02,4.52000e+00,8.24000e+00,
1.2111328e+02,4.52000e+00,8.24000e+00,
1.2114258e+02,4.52000e+00,8.24000e+00,
1.2117188e+02,4.52000e+00,8.24000e+00,
1.2120117e+02,4.52000e+00,8.24000e+00,
1.2123047e+02,4.52000e+00,8.24000e+00,
1.2125977e+02,4.52000e+00,8.24000e+00,
1.2128906e+02,4.52000e+00,8.24000e+00,
1.2131836e+02,4.52000e+00,8.24000e+00,
1.2134766e+02,4.52000e+00,8.24000e+00,
1.2137695e+02,4.52000e+00,8.24000e+00,
1.2140625e+02,4.56000e+00,8.24000e+00,
1.2143555e+02,4.52000e+00,8.24000e+00,
1.2146484e+02,4.56000e+00,8.24000e+00,
1.2149414e+02,4.52000e+00,8.24000e+00,
1.2152344e+02,4.52000e+00,8.24000e+00,
1.2155273e+02,4.56000e+00,8.24000e+00,
1.2158203e+02,4.52000e+00,8.24000e+00,
1.2161133e+02,4.56000e+00,8.24000e+00,
1.2164063e+02,4.52000e+00,8.24000e+00,
1.2166992e+02,4.52000e+00,8.24000e+00,
1.2169922e+02,4.52000e+00,8.24000e+00,
1.2172852e+02,4.52000e+00,8.24000e+00,
1.2175781e+02,4.52000e+00,8.24000e+00,
1.2178711e+02,4.60000e+00,8.24000e+00,
1.2181641e+02,4.52000e+00,8.24000e+00,
1.2184570e+02,4.52000e+00,8.24000e+00,
1.2187500e+02,4.52000e+00,8.24000e+00,
1.2190430e+02,4.52000e+00,8.24000e+00,
1.2193359e+02,4.60000e+00,8.24000e+00,
1.2196289e+02,4.52000e+00,8.24000e+00,
1.2199219e+02,4.56000e+00,8.24000e+00,
1.2202148e+02,4.56000e+00,8.24000e+00,
1.2205078e+02,4.52000e+00,8.24000e+00,
1.2208008e+02,4.56000e+00,8.24000e+00,
1.2210938e+02,4.56000e+00,8.24000e+00,
1.2213867e+02,4.56000e+00,8.24000e+00,
1.2216797e+02,4.52000e+00,8.24000e+00,
1.2219727e+02,4.52000e+00,8.24000e+00,
1.2222656e+02,4.56000e+00,8.24000e+00,
1.2225586e+02,4.56000e+00,8.24000e+00,
1.2228516e+02,4.56000e+00,8.24000e+00,
1.2231445e+02,4.56000e+00,8.24000e+00,
1.2234375e+02,4.52000e+00,8.24000e+00,
1.2237305e+02,4.52000e+00,8.24000e+00,
1.2240234e+02,4.56000e+00,8.24000e+00,
1.2243164e+02,4.56000e+00,8.24000e+00,
1.2246094e+02,4.52000e+00,8.24000e+00,
1.2249023e+02,4.56000e+00,8.24000e+00,
1.2251953e+02,4.60000e+00,8.24000e+00,
1.2254883e+02,4.56000e+00,8.24000e+00,
1.2257813e+02,4.60000e+00,8.24000e+00,
1.2260742e+02,4.52000e+00,8.24000e+00,
1.2263672e+02,4.60000e+00,8.24000e+00,
1.2266602e+02,4.56000e+00,8.24000e+00,
1.2269531e+02,4.52000e+00,8.24000e+00,
1.2272461e+02,4.52000e+00,8.24000e+00,
1.2275391e+02,4.60000e+00,8.24000e+00,
1.2278320e+02,4.56000e+00,8.24000e+00,
1.2281250e+02,4.52000e+00,8.24000e+00,
1.2284180e+02,4.60000e+00,8.24000e+00,
1.2287109e+02,4.56000e+00,8.24000e+00,
1.2290039e+02,4.60000e+00,8.24000e+00,
1.2292969e+02,4.60000e+00,8.24000e+00,
1.2295898e+02,4.56000e+00,8.24000e+00,
1.2298828e+02,4.56000e+00,8.24000e+00,
1.2301758e+02,4.60000e+00,8.24000e+00,
1.2304688e+02,4.60000e+00,8.24000e+00,
1.2307617e+02,4.60000e+00,8.24000e+00,
1.2310547e+02,4.60000e+00,8.24000e+00,
1.2313477e+02,4.56000e+00,8.24000e+00,
1.2316406e+02,4.56000e+00,8.24000e+00,
1.2319336e+02,4.56000e+00,8.24000e+00,
1.2322266e+02,4.60000e+00,8.24000e+00,
1.2325195e+02,4.56000e+00,8.24000e+00,
1.2328125e+02,4.60000e+00,8.24000e+00,
1.2331055e+02,4.60000e+00,8.24000e+00,
1.2333984e+02,4.60000e+00,8.24000e+00,
1.2336914e+02,4.52000e+00,8.24000e+00,
1.2339844e+02,4.60000e+00,8.24000e+00,
1.2342773e+02,4.56000e+00,8.24000e+00,
1.2345703e+02,4.56000e+00,8.24000e+00,
1.2348633e+02,4.56000e+00,8.24000e+00,
1.2351563e+02,4.56000e+00,8.24000e+00,
1.2354492e+02,4.60000e+00,8.24000e+00,
1.2357422e+02,4.56000e+00,8.24000e+00,
1.2360352e+02,4.60000e+00,8.24000e+00,
1.2363281e+02,4.60000e+00,8.24000e+00,
